,0
2000-01-31,-0.028375023654187898
2000-02-29,0.11911715708865075
2000-03-31,-0.032273761851023666
2000-04-30,0.03127484511446898
2000-05-31,-0.008979151447977982
2000-06-30,0.03013590655741273
2000-07-31,0.015061632975110817
2000-08-31,0.018520498786749044
2000-09-30,-0.010555805373257794
2000-10-31,-0.004661660428399848
2000-11-30,0.02186755349775947
2000-12-31,0.0011758941943754197
2001-01-31,0.011515399301212401
2001-02-28,0.0007187093714777631
2001-03-31,-0.0041141999876681545
2001-04-30,-0.00451085903372035
2001-05-31,-0.028185003259898478
2001-06-30,-0.007345558581029361
2001-07-31,0.004308521484977151
2001-08-31,0.013106731472504754
2001-09-30,-0.02854803804898706
2001-10-31,0.026804250068221583
2001-11-30,0.014169631913512788
2001-12-31,0.0018263045222420005
2002-01-31,-0.007118233852054873
2002-02-28,-0.00011362210025493008
2002-03-31,0.0030653735768420842
2002-04-30,-0.015509478799761164
2002-05-31,0.0064200087296715225
2002-06-30,0.0011561699110129997
2002-07-31,-0.0006303970831653058
2002-08-31,0.017981288649405534
2002-09-30,0.008174425191497872
2002-10-31,-0.009008215365566438
2002-11-30,-0.007937115348064391
2002-12-31,-0.0010844132833265213
2003-01-31,0.026166192859318607
2003-02-28,-0.0030775284371393668
2003-03-31,0.003226732407610202
2003-04-30,0.017991178447396988
2003-05-31,-0.006377880440104261
2003-06-30,-0.01874112038999473
2003-07-31,-0.016895950498363305
2003-08-31,0.0014755601672425227
2003-09-30,-0.009161643593390126
2003-10-31,0.005726671671962384
2003-11-30,-0.0010478171754001522
2003-12-31,-0.005213868312244924
2004-01-31,0.00791930686940226
2004-02-29,-0.03348296971851571
2004-03-31,0.012464284827592494
2004-04-30,0.024913737155757953
2004-05-31,-0.010576155575210735
2004-06-30,0.011633678166171349
2004-07-31,0.023934254182771675
2004-08-31,-0.009522480719428593
2004-09-30,0.028171598357658985
2004-10-31,0.00924416603497178
2004-11-30,-0.00839105147022853
2004-12-31,0.003960479717524487
2005-01-31,0.03310234779418293
2005-02-28,0.009895862523878848
2005-03-31,0.07995538991435502
2005-04-30,0.03804150237570103
2005-05-31,-0.06916089743202256
2005-06-30,0.016109693982277098
2005-07-31,0.016121889788079474
2005-08-31,0.00788349938276832
2005-09-30,0.01283916957824921
2005-10-31,0.008267263862658851
2005-11-30,-0.05483991758634282
2005-12-31,0.004594484895606231
2006-01-31,0.0018442603765330412
2006-02-28,0.004569119505772622
2006-03-31,0.04684771094530269
2006-04-30,0.047662075817370364
2006-05-31,-0.09202884864594044
2006-06-30,-0.01083305772498365
2006-07-31,-0.02398641188747846
2006-08-31,-0.007439244334041348
2006-09-30,0.008076485749938883
2006-10-31,0.05737049399940844
2006-11-30,-0.007556044307510307
2006-12-31,-0.0708689858819829
2007-01-31,0.02088508271386469
2007-02-28,0.044270979456511886
2007-03-31,-0.040663125903437236
2007-04-30,-0.004781241646529266
2007-05-31,0.020053083439443453
2007-06-30,0.06872280438623458
2007-07-31,-0.06761196058618071
2007-08-31,-0.04703333929111081
2007-09-30,0.03853018284769094
2007-10-31,-0.14569982613946064
2007-11-30,0.02378584513621823
2007-12-31,0.09430448467456384
2008-01-31,0.07865223371732233
2008-02-29,0.016782497812796487
2008-03-31,0.007715357441055087
2008-04-30,-0.157986471595214
2008-05-31,0.05682632630647369
2008-06-30,0.021196649932588574
2008-07-31,0.008167939804796097
2008-08-31,-0.14245869364709918
2008-09-30,0.0023361472661008117
2008-10-31,-0.03285409156022956
2008-11-30,-0.0015987052596173335
2008-12-31,0.12331565195165224
2009-01-31,-0.013088482536943835
2009-02-28,0.01900503647057044
2009-03-31,0.04340572463280959
2009-04-30,0.030889609214513572
2009-05-31,-0.023570945984603124
2009-06-30,-0.10253508791923877
2009-07-31,0.05657674376486427
2009-08-31,0.08516791832235371
2009-09-30,-0.04754363016822889
2009-10-31,0.013299828431355382
2009-11-30,0.08155441045317666
2009-12-31,-0.0022769320517044764
2010-01-31,0.044990320176035985
2010-02-28,0.028257104552271955
2010-03-31,-0.02397775570453444
2010-04-30,0.03797045040067341
2010-05-31,-0.020226795458812903
2010-06-30,-0.052250722402401036
2010-07-31,0.07320708178328778
2010-08-31,0.11354223871447373
2010-09-30,0.050405379245652415
2010-10-31,0.10599142390740561
2010-11-30,0.0008789178344934603
2010-12-31,0.03000247505932923
2011-01-31,-0.05545160164130044
2011-02-28,0.08736583667421643
2011-03-31,-0.05661358856057312
2011-04-30,-0.0365312902420073
2011-05-31,-0.01978165556795236
2011-06-30,0.04226507121533004
2011-07-31,0.03748290608492216
2011-08-31,-0.0031727924528945073
2011-09-30,-0.047601410099445504
2011-10-31,-0.045968117799927294
2011-11-30,0.012676678778000154
2011-12-31,-0.09967518722783182
2012-01-31,-0.03512323980527727
2012-02-29,0.0656306655168489
2012-03-31,-0.02036968091671315
2012-04-30,0.006989095558254291
2012-05-31,0.04766822466806057
2012-06-30,-0.03203649598076642
2012-07-31,-0.03442527574942732
2012-08-31,0.0349659669162512
2012-09-30,0.037617131797001935
2012-10-31,-0.00449438246710353
2012-11-30,-0.09413868325027744
2012-12-31,-0.018405378033591657
2013-01-31,0.004078249617377808
2013-02-28,0.08478780263152186
2013-03-31,0.0943851535561414
2013-04-30,0.03930965869798347
2013-05-31,0.06528994973277394
2013-06-30,0.04638205383389438
2013-07-31,0.07812101526931867
2013-08-31,-0.019407314145631703
2013-09-30,-0.0037993176900353934
2013-10-31,-0.0049081490499442845
2013-11-30,-0.0045930142701027035
2013-12-31,0.029072326168423146
2014-01-31,0.04654882226960457
2014-02-28,-0.008642181009190758
2014-03-31,-0.03785904951963415
2014-04-30,-0.013965568276044222
2014-05-31,-0.011512310257735834
2014-06-30,-0.014590545656734934
2014-07-31,-0.0429383896266768
2014-08-31,-0.0017519005181457215
2014-09-30,-0.004110229547299199
2014-10-31,-0.02159424803389177
2014-11-30,-0.02981248722665572
2014-12-31,-0.006214691365740141
2015-01-31,0.01654722684597057
2015-02-28,0.01660510604615928
2015-03-31,-0.012291695119092394
2015-04-30,0.05396951792600946
2015-05-31,0.047304680102712965
2015-06-30,-0.03797456007862398
2015-07-31,0.04705582016421396
2015-08-31,0.01671652670146509
2015-09-30,-0.004669509490138911
2015-10-31,-0.028635369260114174
2015-11-30,-0.034097785556378345
2015-12-31,-0.018811874198904413
2016-01-31,0.023454794219981145
2016-02-29,-0.02253160115986249
2016-03-31,-0.009917791509120727
2016-04-30,-0.019489898564840406
2016-05-31,-0.03789589904017368
2016-06-30,-0.006441021847416899
2016-07-31,-0.01669064661796098
2016-08-31,0.0012092125255692768
2016-09-30,0.018912634631254432
2016-10-31,0.02035282332181043
2016-11-30,0.03598928485359178
2016-12-31,-0.032479078717922216
2017-01-31,0.011257141455088259
2017-02-28,-0.006357001531928155
2017-03-31,0.011368857422386133
2017-04-30,0.0197955239417796
2017-05-31,-0.03370250554249948
2017-06-30,-0.02874509212538611
2017-07-31,-0.02094026796026585
2017-08-31,0.011730644178853684
2017-09-30,-0.016594596688478173
2017-10-31,-0.008271101962410588
2017-11-30,-0.003558470294089823
2017-12-31,0.005633763876655675
2018-01-31,0.0035527737158206583
2018-02-28,0.046703647940768915
2018-03-31,-0.019397163089219814
2018-04-30,-0.007943417454296525
2018-05-31,0.0008175522604223825
2018-06-30,-0.007981891749639328
2018-07-31,-0.002931647499445609
2018-08-31,0.008883282479117377
2018-09-30,-0.0006632764709358815
2018-10-31,-0.035416893827232274
2018-11-30,-0.018532094335379473
2018-12-31,0.03301575293239185
2019-01-31,0.038680893731139296
2019-02-28,-0.028153866903347646
2019-03-31,0.037224849267471036
2019-04-30,0.01453649889033885
2019-05-31,0.01075781879279035
2019-06-30,0.016321163242376584
2019-07-31,0.022188764995541177
2019-08-31,0.003210974459372481
2019-09-30,-0.036838672203142825
2019-10-31,0.015134233752189696
2019-11-30,-0.033862475441435315
2019-12-31,-0.04581180806907864
